index,string,shingles
2149,aBbCCCdFFFfFGgHikKLlLLMopPPqRrRtTTuuVvwxxYy,"Vvwx,vwxx,BbCC,TTuu,bCCC,RtTT,GgHi,aBbC,gHik,rRtT,PqRr,wxxY,CCdF,FFFf,dFFF,CdFF,qRrR,PPqR,HikK,FfFG,CCCd,FGgH,tTTu,KLlL,kKLl,uuVv,fFGg,LMop,LLMo,lLLM,uVvw,FFfF,MopP,ikKL,RrRt,LlLL,xxYy,opPP,pPPq,TuuV"
2150,AaBBBcDdDFfFGggGGHHIiiJjjklllLLmmMNNnOoOPRRsStuvwWwWXXYZZz,"MNNn,NnOo,RRsS,Stuv,lLLm,tuvw,XXYZ,iJjj,dDFf,LLmm,GHHI,mmMN,klll,lllL,DFfF,mMNN,OPRR,FGgg,iiJj,cDdD,vwWw,llLL,aBBB,nOoO,BBcD,NNnO,FfFG,jkll,AaBB,GggG,jjkl,LmmM,WwWX,YZZz,WXXY,HHIi,XYZZ,ggGG,wWXX,OoOP,sStu,fFGg,BBBc,uvwW,HIii,RsSt,PRRs,BcDd,Jjjk,wWwW,GGHH,oOPR,gGGH,DdDF,IiiJ"
2151,AaBCdDeefFGgghhIKKlLLmmnNpqrrruuuWwz,"lLLm,gghh,aBCd,pqrr,LLmm,dDee,FGgg,KKlL,rruu,eefF,BCdD,efFG,mmnN,ruuu,CdDe,AaBC,rrru,Lmmn,uWwz,uuuW,uuWw,ghhI,fFGg,hhIK,qrrr,mnNp,KlLL,IKKl,Gggh,nNpq,Npqr,Deef,hIKK"
2152,CCcCDdeFfFFFfGGkMmmrrRRtTTUUVyyY,"CDde,TUUV,FFfG,RtTT,rrRR,fGGk,mmrr,FfFF,RRtT,tTTU,FFFf,GkMm,eFfF,fFFF,cCDd,GGkM,rRRt,VyyY,TTUU,UUVy,DdeF,mrrR,FfGG,deFf,CCcC,Mmmr,kMmm,CcCD,UVyy"
2153,AABCDdEFfFGgGhiijJkKLMnNnnoooopPPpPPPqQqqQRtTtUUvvWXxxYYyYY,"CDdE,PPpP,gGhi,pPPp,PPqQ,ooop,YYyY,UvvW,oopP,vvWX,ijJk,dEFf,tUUv,LMnN,pPPP,qqQR,MnNn,EFfF,ABCD,UUvv,vWXx,xxYY,YyYY,Ghii,FGgG,PpPP,XxxY,nNnn,JkKL,Nnno,PqQq,FfFG,hiij,qQRt,qQqq,QqqQ,kKLM,WXxx,TtUU,DdEF,fFGg,QRtT,iijJ,BCDd,xYYy,oooo,jJkK,tTtU,nooo,KLMn,AABC,RtTt,nnoo,opPP,GgGh,PPPq"
2154,AaBcCDDdDEeffFFghhJJjKLlmMnqqQRrstTTuUvwWxYyYZ,"KLlm,cCDD,TuUv,CDDd,wWxY,JJjK,YyYZ,FFgh,hJJj,aBcC,dDEe,JjKL,Rrst,DEef,qqQR,effF,UvwW,DdDE,DDdD,uUvw,ghhJ,LlmM,xYyY,Fghh,fFFg,hhJJ,lmMn,tTTu,vwWx,QRrs,WxYy,Eeff,rstT,qQRr,mMnq,AaBc,stTT,Mnqq,BcCD,nqqQ,TTuU,ffFF,jKLl"
2155,AAAbeeeEHjKKllLMmOpQqRRrsSTvvVWXxYYZZZ,"eeeE,lLMm,YYZZ,STvv,xYYZ,jKKl,WXxY,qRRr,beee,vvVW,vVWX,llLM,KKll,LMmO,mOpQ,RRrs,rsST,RrsS,YZZZ,AAbe,AAAb,HjKK,sSTv,KllL,OpQq,pQqR,EHjK,QqRR,TvvV,VWXx,Abee,eeEH,XxYY,eEHj,MmOp"
2156,acccdfgGggKKllMmNnOOpqrsTtUuUUWwWwxXxyyzZ,"UuUU,rsTt,wWwx,nOOp,WwxX,cccd,UWwW,GggK,Xxyy,gGgg,ggKK,mNnO,cdfg,KKll,NnOO,wxXx,qrsT,lMmN,accc,OOpq,uUUW,tUuU,UUWw,sTtU,fgGg,llMm,dfgG,gKKl,yyzZ,WwWw,TtUu,KllM,MmNn,xXxy,Opqr,ccdf,pqrs,xyyz"
2157,AbbCCdGGgHiiiJjKKNnooppPQrrRsTTuwwYyZzZz,"AbbC,rRsT,noop,GgHi,uwwY,KKNn,TTuw,iiJj,jKKN,ZzZz,Nnoo,iiiJ,dGGg,QrrR,rrRs,sTTu,ppPQ,Hiii,pPQr,iJjK,gHii,wYyZ,bbCC,oppP,RsTT,GGgH,CCdG,CdGG,KNno,PQrr,bCCd,wwYy,YyZz,Tuww,JjKK,yZzZ,oopp"
2158,aBccDdeeFggHhIIijjJkkkloOprRrRSUuUvWXXyZz,"RrRS,OprR,ggHh,jJkk,Ddee,WXXy,rRrR,kklo,SUuU,eeFg,gHhI,kloO,UvWX,Jkkk,FggH,XXyZ,deeF,jjJk,prRr,XyZz,eFgg,ccDd,Iijj,aBcc,UuUv,loOp,uUvW,hIIi,IIij,vWXX,cDde,HhII,oOpr,RSUu,BccD,kkkl,rRSU,ijjJ"
2159,aACdeEeFfggHiJKkkKkllMOOPpQQRRrRsstTtuUUuvVvvVVWWWYZ,"KkkK,vvVV,UuvV,kkKk,VvvV,QRRr,VVWW,ggHi,Kkll,vVvv,WWYZ,gHiJ,RRrR,Ffgg,vVVW,OPpQ,CdeE,llMO,JKkk,iJKk,lMOO,stTt,WWWY,QQRR,VWWW,MOOP,HiJK,pQQR,eFfg,uUUu,EeFf,sstT,eEeF,aACd,UUuv,fggH,kKkl,OOPp,RrRs,Rsst,tuUU,deEe,rRss,ACde,PpQQ,uvVv,kllM,tTtu,TtuU"
2160,cCeFgGgGhIkkMMmmOooppQqRSTTtVVvvWWxXXx,"FgGg,TtVV,hIkk,WWxX,WxXX,mOoo,STTt,TTtV,mmOo,GhIk,QqRS,tVVv,kMMm,VvvW,vWWx,xXXx,qRST,ppQq,RSTT,gGgG,vvWW,oppQ,IkkM,eFgG,Ooop,pQqR,MMmm,VVvv,MmmO,cCeF,gGhI,kkMM,CeFg,GgGh,oopp"
2161,AaAEfghhhIJjjKkKlMnNoPQqQSsttTWxyyzz,"hhIJ,hhhI,AaAE,KlMn,aAEf,yyzz,hIJj,lMnN,fghh,QqQS,sttT,AEfg,nNoP,NoPQ,JjjK,QSst,kKlM,oPQq,IJjj,jKkK,jjKk,Wxyy,KkKl,Sstt,tTWx,ghhh,qQSs,ttTW,Efgh,PQqQ,TWxy,MnNo,xyyz"
2162,aAAbCCccdEEeeEIjJKlMMnopqQRstuUUvvvwwwxyzzZ,"MMno,AbCC,eEIj,cdEE,vvww,CCcc,wxyz,Rstu,KlMM,uUUv,EEee,EIjJ,stuU,pqQR,QRst,dEEe,UUvv,bCCc,JKlM,Uvvv,wwxy,Cccd,jJKl,aAAb,qQRs,yzzZ,lMMn,wwwx,nopq,vvvw,IjJK,ccdE,opqQ,vwww,tuUU,eeEI,AAbC,Mnop,EeeE,xyzz"
2163,aAaBBbBccCDDDefIjJKKLLMmMNnNoPPQRSSSSSTttTuuVVWxxxXxxyYzZ,"efIj,jJKK,cCDD,MNnN,TttT,KLLM,mMNn,PQRS,tTuu,Wxxx,uuVV,bBcc,fIjJ,PPQR,SSSS,BBbB,SSST,uVVW,VVWx,DefI,VWxx,TuuV,BbBc,LMmM,oPPQ,NoPP,xxyY,ttTu,LLMm,MmMN,nNoP,QRSS,CDDD,aAaB,KKLL,AaBB,ccCD,STtt,IjJK,BccC,RSSS,SSTt,xyYz,NnNo,JKKL,aBBb,xxxX,xxXx,yYzZ,DDDe,Xxxy,xXxx,DDef"
2164,aabcCDDeefFGgiiiJKkKnnnnopqrRrsTTUuVvwWxyy,"cCDD,qrRr,abcC,kKnn,JKkK,CDDe,nnno,Ggii,sTTU,rsTT,eefF,nnop,TUuV,iiiJ,rRrs,opqr,efFG,iJKk,bcCD,RrsT,aabc,Knnn,nnnn,vwWx,giii,wWxy,DDee,Wxyy,KkKn,nopq,iiJK,fFGg,UuVv,TTUu,pqrR,uVvw,FGgi,VvwW,Deef"
2165,aBCCcdeeEeEeFFGGgGHHiIIijKlnNNnOopPpPQrRsTttTvVVwWWWXYYyyYZZZZzz,"FFGG,BCCc,NnOo,pPpP,TttT,cdee,IijK,ttTv,wWWW,TvVV,ZZZz,rRsT,vVVw,XYYy,aBCC,eEeE,nOop,GHHi,FGGg,PpPQ,RsTt,HHiI,PQrR,HiII,YZZZ,KlnN,NNnO,sTtt,CCcd,WWWX,GGgG,pPQr,nNNn,WXYY,tTvV,yyYZ,lnNN,opPp,jKln,QrRs,YYyy,YyyY,ZZZZ,eFFG,WWXY,ijKl,VVwW,Ccde,eEeF,GgGH,OopP,IIij,eeEe,EeEe,iIIi,deeE,VwWW,gGHH,ZZzz,yYZZ,EeFF"
2166,aBCCDEfgghHhHiIjJkkLLMmmOoopQQQrSTuvVVxYzZZ,"HhHi,QQQr,IjJk,VxYz,mOoo,rSTu,jJkk,mmOo,CDEf,aBCC,pQQQ,oopQ,xYzZ,JkkL,Efgg,QrST,VVxY,opQQ,uvVV,LLMm,TuvV,vVVx,DEfg,hHhH,STuv,HiIj,kLLM,YzZZ,QQrS,LMmm,ghHh,Ooop,hHiI,iIjJ,MmmO,kkLL,BCCD,gghH,CCDE,fggh"
2167,abDDDFFfffFFgGhhiKLMNOpQqRStUvwwx,"KLMN,fffF,gGhh,Ffff,MNOp,bDDD,QqRS,qRSt,vwwx,Uvww,hiKL,tUvw,Ghhi,LMNO,DDDF,FgGh,FFff,abDD,fFFg,NOpQ,OpQq,pQqR,DFFf,DDFF,iKLM,StUv,hhiK,RStU,FFgG,ffFF"
2168,AAbcCCdDefHiIjjJJKKKklLLmNnoOoPpqQRrrstttttUuUVvwwwwWxxyZz,"AbcC,LLmN,wwWx,KklL,lLLm,klLL,sttt,UVvw,PpqQ,AAbc,Wxxy,UuUV,cCCd,pqQR,bcCC,DefH,CCdD,noOo,wwww,xxyZ,uUVv,jjJJ,oOoP,CdDe,LmNn,JKKK,rstt,wwwW,dDef,tUuU,fHiI,IjjJ,JJKK,HiIj,KKkl,tttt,wWxx,Vvww,ttUu,qQRr,NnoO,Rrrs,oPpq,tttU,KKKk,QRrr,vwww,jJJK,rrst,OoPp,efHi,mNno,xyZz,iIjj"
2169,AbBbcCDdeEEeEFGgHhHIIijjkkmmNnNooopPPQqrSSTUUUvvwWWxxXxYYYYzz,"CDde,BbcC,Uvvw,ijjk,GgHh,eEEe,YYYY,ooop,bBbc,DdeE,wWWx,oopP,gHhH,vvwW,xYYY,EEeE,YYYz,qrSS,rSST,mmNn,EeEF,pPPQ,UUvv,YYzz,vwWW,jjkk,xXxY,EFGg,PPQq,bcCD,Iijj,UUUv,eEFG,mNnN,cCDd,FGgH,PQqr,WWxx,STUU,WxxX,AbBb,Nooo,HIIi,TUUU,QqrS,NnNo,kkmm,HhHI,hHII,IIij,nNoo,XxYY,SSTU,kmmN,xxXx,deEE,opPP,jkkm"
2170,BBbcCcDDEHhhIJKLlMmNNoPpPQqrRRSTTvvXxyz,"MmNN,BbcC,EHhh,Xxyz,mNNo,LlMm,hhIJ,TTvv,NoPp,RRST,oPpP,CcDD,QqrR,BBbc,PpPQ,pPQq,RSTT,lMmN,NNoP,PQqr,bcCc,cCcD,TvvX,DDEH,hIJK,qrRR,JKLl,HhhI,KLlM,rRRS,vvXx,IJKL,cDDE,DEHh,vXxy,STTv"
2171,AbbBcCdeFGhHIjJjjjkKLMMMnNppqqtTtuUUuvVWWxxyYZ,"nNpp,Jjjj,UuvV,GhHI,MMMn,jjjk,AbbB,jjkK,eFGh,Wxxy,IjJj,jJjj,qqtT,deFG,xyYZ,MnNp,BcCd,qtTt,xxyY,cCde,Nppq,WWxx,pqqt,MMnN,uUUu,kKLM,FGhH,uvVW,ppqq,vVWW,LMMM,UUuv,HIjJ,VWWx,tuUU,CdeF,bBcC,KLMM,hHIj,jkKL,tTtu,TtuU,bbBc"
2172,abBbcCccdDDdeghiijjjkklmMnNnNoOPQQSSSstTttuVwWwwxyyyyZzZZZ,"BbcC,NoOP,SSSs,Tttu,jjjk,ccdD,DDde,mMnN,OPQQ,yyZz,SSst,bBbc,ijjj,ttuV,nNoO,QQSS,xyyy,uVwW,PQQS,tuVw,MnNn,wxyy,dDDd,jjkk,Cccd,wwxy,yyyy,stTt,oOPQ,hiij,zZZZ,lmMn,bcCc,nNnN,QSSS,degh,VwWw,wWww,cdDD,eghi,abBb,jkkl,klmM,tTtt,cCcc,NnNo,Ddeg,yyyZ,kklm,ZzZZ,ghii,SstT,iijj,yZzZ,Wwwx"
2173,ABbbCcCCdFffFFFGggjKLLLLnNNnoPpppqrsSSsTtuUvwxxyyz,"xxyy,BbbC,vwxx,NNno,sSSs,noPp,CdFf,LLLL,FGgg,LnNN,SsTt,cCCd,dFff,FffF,LLLn,rsSS,SSsT,qrsS,CCdF,tuUv,fFFF,gjKL,uUvw,nNNn,Uvwx,pppq,CcCC,sTtu,FFGg,LLnN,jKLL,ggjK,ABbb,Pppp,xyyz,Gggj,KLLL,bCcC,oPpp,ppqr,wxxy,ffFF,bbCc,FFFG,pqrs,TtuU,NnoP"
2174,adEEFffGghHHHIIIIJjjKkKKLmmnNOpPpqrRssTUvvwwWwwxyzZZZ,"dEEF,Uvvw,ssTU,RssT,wxyz,vvww,EEFf,EFff,KkKK,TUvv,OpPp,HHHI,Wwwx,IIJj,fGgh,mmnN,HHII,wwxy,JjjK,xyzZ,HIII,Lmmn,ghHH,yzZZ,wwWw,zZZZ,IJjj,IIIJ,jKkK,FffG,hHHH,jjKk,pPpq,wWww,nNOp,IIII,NOpP,KLmm,pqrR,Ppqr,adEE,GghH,kKKL,mnNO,qrRs,rRss,KKLm,sTUv,vwwW,ffGg"
2175,aAacDefFfGhiJKKKlLMMmMNNrrsuwxxYyZ,"Nrrs,LMMm,FfGh,suwx,fFfG,GhiJ,iJKK,rrsu,mMNN,KKlL,acDe,xYyZ,wxxY,uwxx,JKKK,MmMN,AacD,NNrr,MMmM,fGhi,hiJK,aAac,lLMM,cDef,DefF,xxYy,efFf,MNNr,rsuw,KKKl,KlLM"
2176,aabBbBbBbcCdfFfGggGIiJKLLlLLMmMMMMNNnnNOoOopPQqQRsTTUUuvXxxYzzz,"bBbB,MNNn,BbcC,GIiJ,KLLl,opPQ,OoOo,fFfG,MMMM,oOop,bcCd,NnnN,gGIi,MMMN,bBbc,sTTU,uvXx,MmMM,nNOo,IiJK,dfFf,aabB,CdfF,LMmM,pPQq,iJKL,LLMm,XxxY,FfGg,NOoO,JKLL,qQRs,GggG,NNnn,QRsT,xxYz,TTUU,nnNO,RsTT,abBb,mMMM,xYzz,lLLM,LLlL,BbBb,ggGI,UUuv,OopP,vXxx,LlLL,QqQR,MMNN,cCdf,fGgg,PQqQ,UuvX,Yzzz,TUUu"
2177,AAAbCcCdEeFfFGGhhHijKKLmMnnNnOOpRsSStTTtUUuVWwx,"StTT,mMnn,jKKL,GGhh,nOOp,LmMn,GhhH,pRsS,sSSt,CdEe,ijKK,OOpR,tTTt,HijK,UUuV,AbCc,SStT,hhHi,NnOO,tUUu,OpRs,MnnN,nNnO,CcCd,uVWw,VWwx,eFfF,KLmM,FfFG,UuVW,cCdE,AAAb,nnNn,TtUU,EeFf,TTtU,AAbC,bCcC,hHij,dEeF,KKLm,fFGG,RsSS,FGGh"
2178,aAbBDddDEFfgHjLPPqqStUuuVvvwxXyyYZ,"Vvvw,jLPP,HjLP,bBDd,BDdd,AbBD,uVvv,XyyY,fgHj,ddDE,StUu,vvwx,EFfg,vwxX,wxXy,gHjL,UuuV,xXyy,qqSt,PqqS,uuVv,FfgH,tUuu,yyYZ,PPqq,dDEF,DddD,aAbB,DEFf,LPPq,qStU"
2179,aBbbbCCDdEEFfFFgGGhHiIjJjjjKLLLMNnPQQrrRRRRRSssSSttuUuVvXXyz,"dEEF,CDdE,Jjjj,MNnP,gGGh,uUuV,EEFf,SStt,NnPQ,rrRR,sSSt,DdEE,FgGG,IjJj,jJjj,FfFF,GhHi,bCCD,PQQr,rRRR,LLMN,QrrR,EFfF,LLLM,ssSS,LMNn,RRRR,vXXy,nPQQ,bbbC,Sttu,HiIj,RSss,fFFg,bbCC,uVvX,QQrr,VvXX,jjKL,Bbbb,XXyz,jjjK,UuVv,hHiI,jKLL,iIjJ,RRRS,CCDd,GGhH,KLLL,SssS,FFgG,aBbb,RRSs,ttuU,tuUu"
2180,aCCCddEeEEFFGgghHhhiiJjJjKkkLlMMnPppqqStTTUVwXxXXYyZzZzZ,"Hhhi,StTT,kkLl,MnPp,VwXx,qStT,TUVw,FGgg,JjKk,iiJj,UVwX,nPpp,kLlM,aCCC,ZzZz,JjJj,KkkL,EEFF,EFFG,hiiJ,tTTU,dEeE,CddE,hhii,CCCd,qqSt,lMMn,eEEF,wXxX,MMnP,Pppq,XYyZ,jJjK,ppqq,hHhh,ghHh,pqqS,XXYy,FFGg,zZzZ,LlMM,XxXX,CCdd,iJjJ,EeEE,Gggh,gghH,TTUV,xXXY,YyZz,jKkk,yZzZ,ddEe"
2181,AABcCddDEefhHikKMMOoOqqrRsTUUVWX,"ikKM,KMMO,TUUV,rRsT,AABc,ABcC,dDEe,sTUU,OoOq,ddDE,DEef,BcCd,UUVW,MMOo,HikK,UVWX,Eefh,RsTU,cCdd,hHik,kKMM,efhH,oOqq,Oqqr,CddD,qqrR,MOoO,qrRs,fhHi"
2182,aAFfgHiIjjJjkLoOPQSstTTTUVVvxyYYyYZ,"jJjk,TUVV,PQSs,YyYZ,YYyY,AFfg,gHiI,fgHi,jkLo,LoOP,TTTU,kLoO,xyYY,vxyY,QSst,tTTT,oOPQ,IjjJ,jjJj,HiIj,yYYy,Vvxy,FfgH,aAFf,UVVv,stTT,VVvx,OPQS,TTUV,JjkL,SstT,iIjj"
2183,AAaBBcccddfFggGgghhIIijKlMMoOOpPqqRRsSSuvVvvWxxyYyyYzz,"RRsS,Bccc,qRRs,IijK,gghh,yyYz,OpPq,FggG,KlMM,hhII,qqRR,lMMo,SSuv,SuvV,cccd,Wxxy,vVvv,MMoO,PqqR,VvvW,gGgg,yYzz,ddfF,cddf,xxyY,ggGg,AAaB,MoOO,aBBc,sSSu,fFgg,AaBB,BBcc,ccdd,ghhI,jKlM,yYyy,YyyY,pPqq,dfFg,oOOp,ijKl,hIIi,vvWx,IIij,Gggh,OOpP,uvVv,vWxx,RsSS,xyYy"
2184,bbCdefFfGiIiIiIijjJkklMMNnPQQRrSTTtuuuVwWwxYzz,"TTtu,bCde,rSTT,klMM,wWwx,fFfG,FfGi,MNnP,jJkk,STTt,Ttuu,NnPQ,wxYz,PQQR,uuVw,WwxY,defF,IiIi,GiIi,RrST,uVwW,jjJk,tuuu,uuuV,bbCd,fGiI,Jkkl,Iijj,nPQQ,Cdef,kklM,iIiI,VwWw,MMNn,xYzz,lMMN,iIij,QRrS,efFf,QQRr,ijjJ"
2185,aBBBbdefhjjjkMNNNOOOprRttTvvxxxyyyYYZ,"jkMN,xxyy,OprR,yyyY,ttTv,rRtt,tTvv,jjjk,Bbde,BBBb,MNNN,Tvvx,vvxx,hjjj,xyyy,OOOp,prRt,NOOO,aBBB,vxxx,fhjj,xxxy,OOpr,jjkM,NNNO,RttT,kMNN,yyYY,NNOO,defh,bdef,yYYZ,efhj,BBbd"
2186,aBbBbbbccCcDfFGjkkLLllMmmnnoPPppqqrRSSTtTuuuVVvVwXyz,"LLll,rRSS,DfFG,FGjk,CcDf,qrRS,oPPp,VwXy,tTuu,vVwX,uuVV,fFGj,bccC,mmnn,VVvV,Gjkk,aBbB,mnno,uuuV,noPP,VvVw,TtTu,uVVv,lMmm,nnoP,jkkL,bBbb,kLLl,wXyz,cCcD,llMm,Pppq,Bbbb,ppqq,ccCc,LllM,pqqr,SSTt,PPpp,BbBb,RSST,cDfF,bbbc,Mmmn,kkLL,qqrR,Tuuu,bbcc,STtT"
2187,aAAabbbCcDeeeEFFfHJjJkMmMMmnOoOPPqRrssSSUUWwXxYyyzz,"Aabb,AAab,eeeE,xYyy,bCcD,SSUU,yyzz,JjJk,fHJj,OPPq,eEFF,FFfH,Rrss,jJkM,SUUW,WwXx,MmMM,sSSU,XxYy,eeEF,PqRr,ssSS,nOoO,PPqR,oOPP,aAAa,cDee,abbb,bbbC,MMmn,Deee,UUWw,rssS,kMmM,qRrs,JkMm,mnOo,OoOP,MmnO,FfHJ,HJjJ,wXxY,CcDe,mMMm,UWwX,EFFf,Yyyz,bbCc"
2188,AbcCCcEefGHHiijJjlMNNqrsStUuwYYZz,"AbcC,Nqrs,NNqr,jlMN,cEef,rsSt,EefG,jJjl,bcCC,uwYY,UuwY,StUu,GHHi,YYZz,lMNN,Hiij,fGHH,qrsS,wYYZ,ijJj,sStU,CcEe,efGH,CCcE,HHii,iijJ,JjlM,MNNq,cCCc,tUuw"
2189,aaaAbccDDdDEeffhHijkKKlmMnoppRrsTTTTUvWXXYz,"TUvW,aaAb,effh,kKKl,ijkK,aAbc,dDEe,rsTT,pRrs,UvWX,Abcc,DEef,sTTT,TTUv,ffhH,TTTU,DdDE,KlmM,ppRr,XXYz,bccD,DDdD,RrsT,mMno,TTTT,jkKK,lmMn,Hijk,WXXY,KKlm,Eeff,aaaA,nopp,vWXX,cDDd,Mnop,hHij,ccDD,oppR,fhHi"
2190,aabBCceEeeEfFFgggGggGhHHIIJJkKlLLMNnnnOOPqQSsUvwWwXXzZz,"abBC,GhHH,bBCc,XXzZ,sUvw,IIJJ,eeEf,eEee,vwWw,EfFF,nOOP,SsUv,eEfF,kKlL,gGgg,LLMN,JJkK,OPqQ,aabB,BCce,HHII,HIIJ,ggGg,LMNn,Nnnn,UvwW,wWwX,nnnO,wXXz,CceE,GggG,fFFg,gggG,hHHI,QSsU,ceEe,JkKl,IJJk,PqQS,FFgg,lLLM,WwXX,OOPq,KlLL,qQSs,XzZz,gGhH,nnOO,EeeE,MNnn,Fggg,ggGh"
2191,aaAAaABcddDEEFFFFgHhijJJJKKLlMMnNnppQQrstTttuuUVVWxz,"FFgH,Tttu,ttuu,VWxz,EFFF,uUVV,jJJJ,Qrst,tuuU,AAaA,aaAA,aABc,dDEE,ijJJ,VVWx,ddDE,AaAB,MnNn,EEFF,nNnp,gHhi,JJJK,Nnpp,QQrs,UVVW,aAAa,stTt,JJKK,cddD,DEEF,MMnN,lMMn,FFFF,hijJ,FgHh,rstT,tTtt,KKLl,KLlM,JKKL,FFFg,LlMM,Bcdd,ppQQ,nppQ,Hhij,ABcd,uuUV,pQQr"
2192,aAaBbBBddeEEfFGhhHhhiIjJJkklLLLmMNnNnooppQrsSTUVwwZ,"Hhhi,sSTU,ddeE,nNno,MNnN,IjJJ,klLL,mMNn,VwwZ,TUVw,AaBb,GhhH,noop,Bdde,LmMN,jJJk,NnNn,fFGh,BbBB,hhHh,pQrs,hhiI,Nnoo,QrsS,aBbB,UVww,eEEf,kklL,hiIj,rsST,Jkkl,EEfF,aAaB,EfFG,ppQr,BBdd,oppQ,lLLL,LLLm,hHhh,JJkk,bBBd,iIjJ,FGhh,STUV,LLmM,deEE,oopp"
2193,aAabBBBCCceeefFGhjjkKkLmmmOpqrRssttTtuuuVwxYYZz,"BCCc,mOpq,VwxY,hjjk,aAab,xYYZ,Ttuu,jjkK,bBBB,abBB,ttTt,uuVw,fFGh,eefF,eeef,kLmm,sttT,uuuV,BBCC,efFG,tuuu,AabB,YYZz,BBBC,mmOp,mmmO,sstt,CCce,Ccee,uVwx,kKkL,ceee,Ghjj,KkLm,pqrR,wxYY,FGhj,Lmmm,Rsst,rRss,qrRs,jkKk,Opqr,tTtu"
2194,BBbBccDfFffHHhHhiIiKlLLNPPQrRSttttUvXY,"HhHh,LLNP,tUvX,bBcc,ttUv,HHhH,iIiK,Sttt,BBbB,iKlL,BbBc,ffHH,UvXY,PQrR,DfFf,fFff,PPQr,hiIi,tttt,LNPP,fHHh,ccDf,tttU,RStt,cDfF,hHhi,HhiI,KlLL,FffH,QrRS,rRSt,BccD,lLLN,IiKl,NPPQ"
2195,AaBbBbCefFggGhIiIiJJKKmmnnnnOOPpqQQrrSSTuwXxYYyZz,"qQQr,SSTu,YYyZ,FggG,JKKm,AaBb,STuw,PpqQ,bCef,Kmmn,efFg,mmnn,IiIi,nOOP,aBbB,rSST,GhIi,KKmm,nnnO,iIiJ,fFgg,hIiI,JJKK,nnnn,IiJJ,QQrr,TuwX,wXxY,QrrS,xYYy,BbBb,mnnn,BbCe,gGhI,bBbC,iJJK,nnOO,rrSS,CefF,OPpq,XxYY,YyZz,OOPp,pqQQ,uwXx,ggGh"
2196,AAaaAAbbBbBcCddDefFFfgGiIJkKklllmMnnNOpppQqrSSsssttUUvwXXyZZZz,"bBbB,mMnn,AAaa,pQqr,UUvw,XyZZ,gGiI,iIJk,pppQ,AbbB,rSSs,SSss,UvwX,IJkK,efFF,ZZZz,Kkll,fgGi,sttU,aaAA,ddDe,fFFf,ssst,XXyZ,qrSS,tUUv,BcCd,NOpp,bbBb,BbBc,ppQq,MnnN,sstt,dDef,FfgG,lllm,ttUU,JkKk,AAbb,aAAb,cCdd,lmMn,nnNO,Ssss,nNOp,QqrS,kKkl,AaaA,Oppp,vwXX,CddD,bBcC,DefF,FFfg,llmM,wXXy,yZZZ,GiIJ,klll"
2197,AAbBbBCcdFfGHiJJjlMNNooOppprSStUwWxXyy,"bBbB,wWxX,NooO,bBCc,pprS,rSSt,BbBC,jlMN,GHiJ,SStU,CcdF,iJJj,BCcd,lMNN,xXyy,MNNo,StUw,fGHi,WxXy,AbBb,UwWx,JJjl,pppr,JjlM,prSS,dFfG,oOpp,ooOp,FfGH,Oppp,NNoo,cdFf,tUwW,HiJJ,AAbB"
2198,AabCCCdfgHhHhHIjKLMMoOoOPPRRttTUUXXy,"HhHh,OPPR,RRtt,MoOo,abCC,bCCC,oOoO,PPRR,IjKL,CCdf,MMoO,gHhH,fgHh,AabC,LMMo,ttTU,UUXX,HIjK,oOPP,Cdfg,hHhH,CCCd,tTUU,UXXy,RttT,OoOP,HhHI,dfgH,PRRt,KLMM,hHIj,jKLM,TUUX"
2199,aAaABCCCcCCCdDdDEfgGhiiiIjJjjJKkKkLlMNNoOppPPpqqrrrSSuVVvvWxxXY,"LlMN,jjJK,gGhi,JKkK,pPPp,CCCc,fgGh,OppP,ABCC,qqrr,IjJj,jJjj,aAaA,kLlM,jJKk,VvvW,CCdD,NNoO,rrrS,SuVV,AaAB,ppPP,xxXY,lMNN,vWxx,DdDE,Ghii,KkLl,CdDd,iiiI,rSSu,dDEf,cCCC,EfgG,MNNo,uVVv,DEfg,KkKk,CCCd,iiIj,WxxX,kKkL,PPpq,BCCC,NoOp,hiii,pqqr,CcCC,Ppqq,CCcC,dDdD,SSuV,VVvv,iIjJ,JjjJ,qrrr,vvWx,oOpp,rrSS,aABC"
2200,aAAabbcDddeFFgGGGghHHHIiKkKklOOQRRrrrRSsstuUvwXXy,"Aabb,AAab,OOQR,rrrR,UvwX,HIiK,QRRr,KklO,abbc,FgGG,HHHI,stuU,bcDd,Ddde,eFFg,ddeF,tuUv,iKkK,aAAa,uUvw,GGGg,KkKk,rrRS,ghHH,RRrr,RSss,hHHH,HHIi,Ssst,IiKk,bbcD,gGGG,kKkl,sstu,rRSs,wXXy,cDdd,GGgh,GghH,lOOQ,Rrrr,FFgG,klOO,OQRR,vwXX,deFF"
